Date,Price
2012/1/1,12632.91 
2012/2/1,12952.07 
2012/3/1,13212.04 
2012/4/1,13213.63 
2012/5/1,12393.45 
2012/6/1,12880.09 
2012/7/1,13008.68 
2012/8/1,13090.84 
2012/9/1,13437.13 
2012/10/1,13096.46 
2012/11/1,13025.58 
2012/12/1,13104.14 
2013/1/1,13860.58 
2013/2/1,14054.49 
2013/3/1,14578.54 
2013/4/1,14839.80 
2013/5/1,15115.57 
2013/6/1,14909.60 
2013/7/1,15499.54 
2013/8/1,14810.31 
2013/9/1,15129.67 
2013/10/1,15545.75 
2013/11/1,16086.41 
2013/12/1,16576.66 
2014/1/1,15698.85 
2014/2/1,16321.71 
2014/3/1,16457.66 
2014/4/1,16580.84 
2014/5/1,16717.17 
2014/6/1,16826.60 
2014/7/1,16563.30 
2014/8/1,17098.45 
2014/9/1,17042.90 
2014/10/1,17390.52 
2014/11/1,17828.24 
2014/12/1,17823.07 
2015/1/1,17164.95 
2015/2/1,18132.70 
2015/3/1,17776.12 
2015/4/1,17840.52 
2015/5/1,18010.68 
2015/6/1,17619.51 
2015/7/1,17689.86 
2015/8/1,16528.03 
2015/9/1,16284.70 
2015/10/1,17663.54 
2015/11/1,17719.92 
2015/12/1,17425.03 
2016/1/1,16466.30 
2016/2/1,16516.50 
2016/3/1,17685.09 
2016/4/1,17773.64 
2016/5/1,17787.20 
2016/6/1,17929.99 
2016/7/1,18432.24 
2016/8/1,18400.88 
2016/9/1,18308.15 
2016/10/1,18142.42 
2016/11/1,19123.58 
2016/12/1,19762.60 
2017/1/1,19864.09 
2017/2/1,20812.24 
2017/3/1,20663.22 
2017/4/1,20940.51 
2017/5/1,21008.65 
2017/6/1,21349.63 
2017/7/1,21891.12 
2017/8/1,21948.10 
2017/9/1,22405.09 
2017/10/1,23377.24 
2017/11/1,24272.35 
2017/12/1,24719.22 
2018/1/1,26149.39 
2018/2/1,25029.20 
2018/3/1,24103.11 
2018/4/1,24163.15 
2018/5/1,24415.84 
2018/6/1,24271.41 
2018/7/1,25415.19 
2018/8/1,25964.82 
2018/9/1,26458.31 
2018/10/1,25115.76 
2018/11/1,25538.46 
2018/12/1,23327.46 
2019/1/1,24999.67 
2019/2/1,25916.00 
2019/3/1,25928.68 
2019/4/1,26592.91 
2019/5/1,24815.04 
2019/6/1,26599.96 
2019/7/1,26864.27 
2019/8/1,26403.28 
2019/9/1,26916.83 
2019/10/1,27046.23 
2019/11/1,28051.41 
2019/12/1,28538.44 
2020/1/1,28256.03 
2020/2/1,25409.36 
2020/3/1,21917.16 
2020/4/1,24345.72 
2020/5/1,25383.11 
2020/6/1,25812.88 
2020/7/1,26428.32 
2020/8/1,28430.05 
2020/9/1,27781.70 
2020/10/1,26501.60 
2020/11/1,29638.64 
2020/12/1,30606.48 
2021/1/1,29982.62 
2021/2/1,30932.37 
2021/3/1,32981.55 
2021/4/1,33874.85 
2021/5/1,34529.45 
2021/6/1,34502.51 
2021/7/1,34935.47 
2021/8/1,35360.73 
2021/9/1,33843.92 
2021/10/1,35819.56 
2021/11/1,34483.72 
2021/12/1,36338.30 
2022/1/1,35131.86 
2022/2/1,33892.60 
2022/3/1,34678.35 
2022/4/1,32977.21 
2022/5/1,32990.12 
2022/6/1,33180.14 
